source_file,source_sheet,source_kind,source_quality_weight,condition,dealer_name,brand,model,version,year,year_imputed,mileage_km,fuel_type,transmission,body_style,price_listing_mga,price_excl_tax_mga,price_negotiable_mga,forward_filled
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Chevrolet,Spark,,2010,false,140000,petrol,automatic,,28000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Chevrolet,Captiva,I,2007,false,190000,diesel,manual,suv,25000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Chevrolet,Captiva,II,2011,false,165000,diesel,automatic,suv,37000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Jeep,Wrangler,3p,2013,false,180000,diesel,manual,suv,85000000,,,false
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Jeep,Wrangler,5p,2015,false,170000,diesel,manual,suv,95000000,,,true
occasion ts.xlsx,Occasion,expert_curated,0.95,used,,Jeep,cherokee,,2015,false,200000,diesel,automatic,suv,80000000,,,true
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Mazda,BT50,Base,2016,false,,diesel,manual,pickup,65000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Mazda,BT50,,2016,false,,diesel,manual,pickup,70000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Mazda,BT50,,2016,false,,diesel,manual,pickup,90000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Mazda,BT50,,2016,false,,diesel,automatic,pickup,100000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Mazda,BT50,Base,2022,false,,diesel,manual,pickup,90000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Mazda,BT50,Deluxe,2022,false,,diesel,manual,pickup,110000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Mazda,BT50,Deluxe,2022,false,,diesel,manual,pickup,130000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Mazda,BT50,Platinium,2022,false,,diesel,automatic,pickup,150000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Mazda,CX3,,2018,false,,petrol,automatic,suv,60000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Mazda,CX3,,2018,false,,petrol,automatic,suv,75000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Mazda,CX5,,2014,false,,petrol,automatic,suv,50000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Mazda,CX5,,2014,false,,petrol,automatic,suv,70000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Mazda,CX5,,2019,false,,petrol,automatic,suv,80000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Mazda,CX5,,2019,false,,petrol,automatic,suv,100000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Mazda,CX9,Executive,2019,false,,petrol,automatic,suv,120000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Mazda,CX9,Platinium,2019,false,,petrol,automatic,suv,150000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Mazda,CX30,,2021,false,,petrol,automatic,suv,75000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Mazda,CX30,,2021,false,,petrol,automatic,suv,90000000,,,false
occaz oceantrade.xlsx,Occasion,dealer_official,1,used,OceanTrade,Mazda,CX60,,2023,false,,petrol,automatic,suv,200000000,,,false
